,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
0,MetaDrive-Tut-Hard-v0,1394,6.1030448135040345,1663,2,1.1928491592407227,,,,0.0,,,
1,MetaDrive-Tut-Hard-v0,1311,3.6879122839253546,2024,3,1.5429840087890625,,,,0.0,,,
2,MetaDrive-Tut-Hard-v0,1348,4.951659033537835,3734,5,2.7693421840667725,,,,0.0,,,
3,MetaDrive-Tut-Hard-v0,1393,6.070741536726005,4735,6,3.397909164428711,,,,0.0,,,
4,MetaDrive-Tut-Hard-v0,1416,6.769846565341737,5736,7,4.049318075180054,,,,0.0,,,
5,MetaDrive-Tut-Hard-v0,1381,7.5737919176442094,6737,8,4.8754332065582275,,,,0.0,,,
6,MetaDrive-Tut-Hard-v0,1381,8.10310123806678,7738,9,5.601696014404297,,,,0.0,,,
7,MetaDrive-Tut-Hard-v0,1332,8.638024231167629,8739,10,6.559466123580933,,,,0.0,,,
8,MetaDrive-Tut-Hard-v0,1293,8.160138977828474,9524,11,7.363697052001953,,,,0.0,,,
9,MetaDrive-Tut-Hard-v0,1277,7.9031217250164865,10044,12,7.860628128051758,0.01537511870265007,,0.001230176305398345,0.0,0.017163898795843124,-0.00041944021359086037,0.012991536408662796
10,MetaDrive-Tut-Hard-v0,784,0.34055977308021435,11020,55,14.041916131973267,0.028176475316286087,,0.40268760919570923,0.0,0.05719977617263794,0.05837659165263176,-0.019174570217728615
11,MetaDrive-Tut-Hard-v0,617,-0.6384846970829573,12104,76,19.59318494796753,0.060030747205019,,0.016249598935246468,0.0,0.0538715198636055,0.04810591787099838,0.026612862944602966
12,MetaDrive-Tut-Hard-v0,538,-1.0468005173214703,13010,88,24.141336917877197,0.0008541359566152096,,0.5590380430221558,0.0,0.05358884111046791,0.042242925614118576,-0.026162676513195038
13,MetaDrive-Tut-Hard-v0,474,-1.9741543154419778,14039,114,29.568830013275146,0.011625703424215317,-0.06546719372272491,0.5349609851837158,0.0,0.08410241454839706,0.03300559148192406,-0.028530284762382507
14,MetaDrive-Tut-Hard-v0,430,-0.08169114470529237,15040,142,34.958648920059204,0.12142115831375122,,0.23055744171142578,0.0,0.08311988413333893,0.05165055766701698,0.0063880253583192825
15,MetaDrive-Tut-Hard-v0,398,3.9228948011105094,16031,157,40.247111082077026,0.2265598177909851,-0.33034050464630127,0.6419413089752197,0.0,0.2607801556587219,0.2633711099624634,-0.0031142188236117363
16,MetaDrive-Tut-Hard-v0,373,9.613198530116183,17031,168,45.560858964920044,0.5394307971000671,-0.6066542267799377,0.3878573179244995,0.0,0.5187671780586243,0.5252530574798584,0.0692823976278305
17,MetaDrive-Tut-Hard-v0,354,15.524947229384363,18032,183,50.89059805870056,1.0055744647979736,,0.20536914467811584,0.0,0.9893028736114502,1.0050451755523682,0.1235414370894432
18,MetaDrive-Tut-Hard-v0,337,22.42504074820196,19037,197,56.42026615142822,1.5348979234695435,-1.8038866519927979,0.4744126498699188,0.0,1.5727039575576782,1.6105372905731201,0.11874367296695709
19,MetaDrive-Tut-Hard-v0,323,31.83758131611708,20123,209,62.24161911010742,2.390565872192383,-2.6402149200439453,1.3236693143844604,0.0,2.4390556812286377,2.4611830711364746,0.15260346233844757
20,MetaDrive-Tut-Hard-v0,314,38.95309674593837,21009,218,66.9013159275055,3.1979267597198486,-3.1665728092193604,0.740528404712677,0.0,2.9992599487304688,3.0562705993652344,0.20367102324962616
21,MetaDrive-Tut-Hard-v0,302,48.81423972630192,22129,228,73.03614616394043,4.195319175720215,-4.164026737213135,0.8195955753326416,0.0,3.945542097091675,4.010987758636475,0.23634670674800873
22,MetaDrive-Tut-Hard-v0,295,57.153972321959735,23042,235,78.03444385528564,4.818630218505859,,2.701263189315796,0.0,4.826765537261963,4.819455623626709,0.19152313470840454
23,MetaDrive-Tut-Hard-v0,287,64.48517662964808,24053,245,83.74158811569214,5.47705078125,-5.6775898933410645,1.8176612854003906,0.0,5.268310070037842,5.276200294494629,0.21560394763946533
24,MetaDrive-Tut-Hard-v0,280,72.55091906540669,25099,254,89.56466507911682,6.888950347900391,-7.300014972686768,1.2756496667861938,0.0,7.0755205154418945,7.087664604187012,0.27597102522850037
25,MetaDrive-Tut-Hard-v0,275,77.09530612240705,26058,262,94.69512701034546,7.824903964996338,,4.093628406524658,0.0,7.452542781829834,7.407849311828613,0.2713339626789093
26,MetaDrive-Tut-Hard-v0,270,81.68437601365218,27013,271,99.75582504272461,8.338240623474121,-8.399826049804688,0.591529905796051,0.0,8.082740783691406,8.247085571289062,0.32703110575675964
27,MetaDrive-Tut-Hard-v0,266,87.62604523820036,28068,281,105.39852905273438,9.9427490234375,,0.8401496410369873,0.0,9.740467071533203,9.66291332244873,0.37840425968170166
28,MetaDrive-Tut-Hard-v0,262,93.540582860049,29081,289,110.74230909347534,10.280978202819824,-10.626750946044922,2.8956100940704346,0.0,10.260014533996582,10.300386428833008,0.3655613958835602
29,MetaDrive-Tut-Hard-v0,259,99.50203440595632,30024,297,115.804368019104,11.335929870605469,,8.089547157287598,0.0,11.842062950134277,11.828420639038086,0.3384948670864105
30,MetaDrive-Tut-Hard-v0,255,103.54305991603356,31021,304,121.34259605407715,13.44110107421875,-13.594501495361328,2.5157318115234375,0.0,13.099517822265625,13.109918594360352,0.43229764699935913
31,MetaDrive-Tut-Hard-v0,252,106.50868196240098,32028,312,126.98034811019897,14.670886039733887,,4.743461608886719,0.0,14.78034782409668,14.787328720092773,0.4814792275428772
32,MetaDrive-Tut-Hard-v0,249,108.54215547632299,33040,322,132.51272201538086,15.28901481628418,,6.891779899597168,0.0,15.279379844665527,15.221179962158203,0.46045392751693726
33,MetaDrive-Tut-Hard-v0,246,106.12591957847013,34030,332,137.9330449104309,15.925862312316895,,5.676011085510254,0.0,15.473214149475098,15.419221878051758,0.4051712453365326
34,MetaDrive-Tut-Hard-v0,243,108.4489328788649,35055,341,143.73698592185974,17.679218292236328,-18.023487091064453,15.098240852355957,0.0,17.901941299438477,17.892213821411133,0.4358782470226288
35,MetaDrive-Tut-Hard-v0,241,108.75442815364944,36015,351,148.99585700035095,18.57993507385254,-19.07111358642578,6.043153762817383,0.0,18.589576721191406,18.75487518310547,0.4884049892425537
36,MetaDrive-Tut-Hard-v0,239,104.63945395622879,37024,362,154.4264841079712,20.136451721191406,,5.7823638916015625,0.0,19.2868709564209,19.23539924621582,0.5379428863525391
37,MetaDrive-Tut-Hard-v0,237,104.77172671679917,38067,372,160.0558922290802,20.367212295532227,-20.35259246826172,2.8796226978302,0.0,20.1048526763916,20.101837158203125,0.5580637454986572
38,MetaDrive-Tut-Hard-v0,235,106.1964925534505,39098,382,165.74279308319092,21.368701934814453,,10.137340545654297,0.0,20.866453170776367,20.932071685791016,0.48805946111679077
39,MetaDrive-Tut-Hard-v0,234,104.59744262735279,40045,391,170.85149097442627,22.431835174560547,-22.79570960998535,7.355440139770508,0.0,21.869436264038086,21.896120071411133,0.504318118095398
40,MetaDrive-Tut-Hard-v0,232,104.06116671060174,41002,399,176.23651814460754,22.57491111755371,,4.2185893058776855,0.0,22.578102111816406,22.60376739501953,0.5378339886665344
41,MetaDrive-Tut-Hard-v0,230,102.14350201315216,42169,408,182.67441701889038,25.09891128540039,-25.451709747314453,13.199430465698242,0.0,25.123058319091797,25.017826080322266,0.5531867742538452
42,MetaDrive-Tut-Hard-v0,229,105.6000201914475,43069,415,187.68779301643372,26.65122413635254,-27.087112426757812,16.14276123046875,0.0,26.418550491333008,26.35171890258789,0.5785504579544067
43,MetaDrive-Tut-Hard-v0,228,107.295319595984,44085,423,193.09563398361206,27.278696060180664,-27.9265193939209,3.788904905319214,0.0,27.795581817626953,27.658891677856445,0.6472376585006714
44,MetaDrive-Tut-Hard-v0,226,113.3050914065471,45092,428,198.81538105010986,27.165752410888672,,5.032716751098633,0.0,27.722248077392578,27.748973846435547,0.5508680939674377
45,MetaDrive-Tut-Hard-v0,225,118.39102526607458,46138,433,204.6319179534912,26.941370010375977,,13.427061080932617,0.0,27.65827751159668,27.78537368774414,0.5975345373153687
46,MetaDrive-Tut-Hard-v0,224,122.84221336095185,47163,436,210.2512412071228,29.091856002807617,-29.803377151489258,3.9123315811157227,0.01,29.248058319091797,29.13644790649414,0.5691463947296143
47,MetaDrive-Tut-Hard-v0,223,126.81302204284198,48193,440,216.10686612129211,31.897531509399414,-32.510902404785156,7.1608967781066895,0.02,31.87384605407715,31.73282814025879,0.6163784265518188
48,MetaDrive-Tut-Hard-v0,221,131.9074208144652,49354,444,222.4441270828247,31.092971801757812,,7.001801013946533,0.03,31.54448699951172,31.55394172668457,0.628603458404541
49,MetaDrive-Tut-Hard-v0,221,135.12862100383447,50072,447,226.3522720336914,32.38526916503906,,6.746010780334473,0.04,32.12992477416992,32.082862854003906,0.6271490454673767
50,MetaDrive-Tut-Hard-v0,219,140.30457759804835,51162,450,232.77905797958374,32.752201080322266,,22.189573287963867,0.05,33.45219039916992,33.52109909057617,0.6677677631378174
51,MetaDrive-Tut-Hard-v0,218,143.74805341779916,52536,452,240.11748123168945,33.34248733520508,,14.48249626159668,0.06,33.469818115234375,33.70541000366211,0.6502089500427246
52,MetaDrive-Tut-Hard-v0,218,148.48172986404958,53342,454,244.4556839466095,34.10710906982422,,11.4727201461792,0.08,34.941375732421875,34.93470001220703,0.653247594833374
53,MetaDrive-Tut-Hard-v0,217,151.54882043546343,54090,457,248.62587523460388,34.058921813964844,,22.899784088134766,0.09,34.681243896484375,34.75658416748047,0.5955747365951538
54,MetaDrive-Tut-Hard-v0,216,156.20628541411082,55635,460,256.8261830806732,35.45967483520508,-36.392112731933594,9.483793258666992,0.1,36.03227615356445,35.836708068847656,0.6532492637634277
55,MetaDrive-Tut-Hard-v0,216,158.5175347870884,56179,461,260.0847280025482,35.596378326416016,-36.162200927734375,8.029088973999023,0.1,35.66264343261719,35.379432678222656,0.6291111707687378
56,MetaDrive-Tut-Hard-v0,215,163.17603727136313,57133,464,265.39819502830505,37.315345764160156,-37.480552673339844,2.9636752605438232,0.11,37.18903350830078,37.46769714355469,0.6133679151535034
57,MetaDrive-Tut-Hard-v0,214,167.44080233136495,58833,467,274.88574719429016,37.822540283203125,-38.36674499511719,10.381308555603027,0.11,37.94633865356445,37.823001861572266,0.6325700283050537
58,MetaDrive-Tut-Hard-v0,213,167.87947349195437,59039,468,275.9448359012604,37.13182830810547,-38.26560592651367,5.868386268615723,0.11,37.87144470214844,37.87772750854492,0.666780948638916
59,MetaDrive-Tut-Hard-v0,213,170.35577880895232,60057,474,281.6261742115021,36.61116409301758,-37.325416564941406,7.32390832901001,0.11,36.97496032714844,37.224605560302734,0.6532266736030579
60,MetaDrive-Tut-Hard-v0,212,174.75939126315404,61040,477,287.46643590927124,37.17864990234375,,9.706243515014648,0.11,37.22172927856445,36.941558837890625,0.5705198049545288
61,MetaDrive-Tut-Hard-v0,211,179.9553468395842,62106,482,293.14113092422485,37.83224868774414,,5.345920562744141,0.13,37.84382629394531,37.980037689208984,0.6144720911979675
62,MetaDrive-Tut-Hard-v0,211,182.01890767306813,63169,487,298.975478887558,39.75848388671875,-40.3160400390625,9.026752471923828,0.14,40.32579803466797,40.57225036621094,0.599526047706604
63,MetaDrive-Tut-Hard-v0,210,188.73627719929428,64137,491,304.36516213417053,39.80156326293945,-40.03926086425781,4.883543968200684,0.15,39.63243103027344,39.69293975830078,0.6069737076759338
64,MetaDrive-Tut-Hard-v0,210,194.03667805871416,65098,494,309.5228488445282,40.01176452636719,,13.952701568603516,0.17,40.45565414428711,40.627845764160156,0.5942062139511108
65,MetaDrive-Tut-Hard-v0,209,197.35006731553938,66149,497,315.53412103652954,40.65431213378906,-41.014617919921875,17.36571502685547,0.17,40.19655990600586,40.12718963623047,0.6486023664474487
66,MetaDrive-Tut-Hard-v0,208,201.69818681216788,67070,500,320.92810797691345,40.24491882324219,,6.121448040008545,0.18,40.6654052734375,40.66781997680664,0.5952181220054626
67,MetaDrive-Tut-Hard-v0,208,205.31136635459544,68018,503,326.044802904129,39.03300094604492,,4.794588088989258,0.19,38.95372772216797,39.14152526855469,0.5994060039520264
68,MetaDrive-Tut-Hard-v0,207,210.15691352785896,69016,507,331.8882179260254,41.747989654541016,,4.881218910217285,0.19,41.61585235595703,41.69147872924805,0.7440328598022461
69,MetaDrive-Tut-Hard-v0,207,214.03991404319294,70004,510,337.192351102829,42.820838928222656,,19.863666534423828,0.21,42.37437057495117,42.20301055908203,0.678613543510437
70,MetaDrive-Tut-Hard-v0,207,217.6113987194866,71212,513,343.64260601997375,40.11491775512695,,11.386892318725586,0.23,40.19136428833008,40.474388122558594,0.647493839263916
71,MetaDrive-Tut-Hard-v0,206,222.89114865958825,72105,515,348.4959750175476,40.761505126953125,-41.5809326171875,9.866930961608887,0.25,40.79229736328125,40.85832977294922,0.5899930596351624
72,MetaDrive-Tut-Hard-v0,206,228.14044260846632,73175,518,354.1956720352173,39.77253723144531,-40.45919418334961,7.902660369873047,0.27,39.26382064819336,39.10563659667969,0.6029456257820129
73,MetaDrive-Tut-Hard-v0,206,231.28961780684145,74104,521,359.2122919559479,41.92671203613281,,20.232574462890625,0.28,42.3575439453125,42.53260040283203,0.5980045795440674
74,MetaDrive-Tut-Hard-v0,205,234.18920124909278,75067,524,364.71450209617615,43.69563674926758,-43.82905578613281,54.626564025878906,0.29,43.658111572265625,43.48408508300781,0.6389947533607483
75,MetaDrive-Tut-Hard-v0,205,235.54492902559105,76508,529,372.78032398223877,40.62105178833008,,7.010367393493652,0.31,40.56332015991211,40.6960563659668,0.7029910087585449
76,MetaDrive-Tut-Hard-v0,204,236.49009480786196,77380,532,377.77908396720886,41.59677505493164,,32.88191223144531,0.32,41.75719451904297,41.63093185424805,0.7499557733535767
77,MetaDrive-Tut-Hard-v0,204,240.9036811814807,78367,534,383.2313120365143,44.22494125366211,-44.69282150268555,16.232418060302734,0.34,44.001319885253906,44.15904235839844,0.6421778202056885
78,MetaDrive-Tut-Hard-v0,204,239.55894954347502,79077,536,386.99136304855347,42.46152114868164,-43.256099700927734,7.670715808868408,0.34,42.91521453857422,43.3090705871582,0.7195985913276672
79,MetaDrive-Tut-Hard-v0,203,241.30973251790434,80087,539,392.7160429954529,43.97301483154297,-44.71459197998047,9.102669715881348,0.36,44.35220718383789,44.07009506225586,0.7276408672332764
80,MetaDrive-Tut-Hard-v0,203,244.47193496348143,81079,541,398.1959819793701,42.266319274902344,-42.51768493652344,15.638274192810059,0.36,42.252750396728516,42.25672912597656,0.6874321103096008
81,MetaDrive-Tut-Hard-v0,203,245.28518193879646,82112,544,403.93302392959595,43.15058898925781,,8.407072067260742,0.37,42.51044845581055,42.72011184692383,0.659131646156311
82,MetaDrive-Tut-Hard-v0,202,247.21559755779046,83049,546,409.25725293159485,41.157840728759766,-41.26410675048828,9.484113693237305,0.37,40.95125961303711,41.08747482299805,0.6913988590240479
83,MetaDrive-Tut-Hard-v0,202,250.88940439411573,84062,548,415.24969506263733,43.53519058227539,,24.967559814453125,0.38,43.63959503173828,43.6316032409668,0.6984561085700989
84,MetaDrive-Tut-Hard-v0,202,252.83334793305593,85047,550,420.9124319553375,44.86933135986328,-44.76211166381836,24.08803939819336,0.39,44.47736358642578,45.21977233886719,0.7038784027099609
85,MetaDrive-Tut-Hard-v0,201,254.25262910519155,86197,553,427.55457305908203,42.6538200378418,-43.008331298828125,6.857571601867676,0.39,42.467193603515625,42.45232391357422,0.659376323223114
86,MetaDrive-Tut-Hard-v0,201,257.07181317772466,87135,555,432.9302270412445,44.53468704223633,-45.205387115478516,11.592062950134277,0.4,43.980377197265625,44.14167785644531,0.6521137952804565
87,MetaDrive-Tut-Hard-v0,201,261.07796020383813,88072,557,438.0733449459076,43.82279586791992,,10.525962829589844,0.41,42.758514404296875,42.91306686401367,0.6874589323997498
88,MetaDrive-Tut-Hard-v0,200,261.0481144465756,89377,561,445.11270117759705,44.528995513916016,-45.237449645996094,18.13804054260254,0.43,43.873836517333984,43.70335388183594,0.7179975509643555
89,MetaDrive-Tut-Hard-v0,200,263.4178977414116,90351,563,450.55087208747864,43.955406188964844,-44.86006164550781,12.038382530212402,0.44,44.769962310791016,44.601524353027344,0.6198475360870361
90,MetaDrive-Tut-Hard-v0,200,265.5469811586517,91236,565,455.2608280181885,43.305389404296875,,7.8654561042785645,0.45,42.998931884765625,43.05459213256836,0.7018587589263916
91,MetaDrive-Tut-Hard-v0,200,269.84494787653875,92498,567,462.387727022171,44.84133529663086,,25.767539978027344,0.47,44.738014221191406,44.55572509765625,0.6401333808898926
92,MetaDrive-Tut-Hard-v0,199,270.617955117458,93225,569,466.28677916526794,45.11611557006836,-45.15777587890625,8.220924377441406,0.48,45.45267105102539,45.7625846862793,0.6222963929176331
93,MetaDrive-Tut-Hard-v0,199,274.2399491502196,94124,571,470.98944187164307,47.184200286865234,,9.467950820922852,0.49,46.68862533569336,46.688232421875,0.694580078125
94,MetaDrive-Tut-Hard-v0,199,279.1833662220911,95341,574,477.4482350349426,42.19667434692383,-42.340538024902344,24.080547332763672,0.51,41.64677047729492,42.03546142578125,0.6592981815338135
95,MetaDrive-Tut-Hard-v0,199,277.15192252235715,96053,576,481.021409034729,45.209503173828125,-45.67522048950195,19.129314422607422,0.52,45.612361907958984,45.796966552734375,0.6967607140541077
96,MetaDrive-Tut-Hard-v0,199,276.989027668424,97759,579,489.6442768573761,44.6440315246582,-45.29441833496094,20.866348266601562,0.52,44.56112289428711,44.48512649536133,0.5783931016921997
97,MetaDrive-Tut-Hard-v0,199,278.6926988360261,98760,580,494.6374740600586,44.75522232055664,,18.417715072631836,0.52,44.7728157043457,44.65638732910156,0.6076288819313049
98,MetaDrive-Tut-Hard-v0,199,278.5140249936636,99333,582,497.84850811958313,45.485023498535156,-46.066741943359375,32.882286071777344,0.52,45.904380798339844,45.91660690307617,0.6913557648658752
